location_id,year,subregion,elevation_m,latitude,longitude,heat_days_30,heat_days_35,heat_days_38,max_summer_tmax,mean_summer_tmax,heatwave_max_streak,gdd_growing_season,spring_frost_days,spring_severe_frost_days,min_spring_tmin,annual_precip_mm,summer_precip_mm,dry_days,max_consecutive_dry_days,climate_stress_year,tc_vpd_summer_mean,tc_vpd_growing_mean,tc_def_summer_sum,tc_def_growing_sum,tc_soil_summer_min,tc_soil_growing_min,tc_ppt_summer_sum,tc_ppt_growing_sum,heat_trigger,frost_trigger,drought_trigger,model_stress_probability
BC01,1995,Baixo Corgo,145,41.1645,-7.912,12,1,0,35.3,25.38369565217391,1,1450.3000000000002,1,1,-2.3,1422.4,95.7,246,41,1,1.25,0.9942857142857144,356.8,448.5,16.7,14.4,77.70000000000002,351.3,0,0,0,0.4595080775258695
BC01,1996,Baixo Corgo,145,41.1645,-7.912,15,0,0,32.1,25.071739130434786,0,1248.9,8,1,-2.3,1466.9,52.3,225,20,0,1.2733333333333332,0.9257142857142858,352.20000000000005,408.1,22.4,18.4,36.3,326.20000000000005,0,0,0,0.1680263157894737
BC01,1997,Baixo Corgo,145,41.1645,-7.912,10,0,0,31.9,22.51086956521739,0,1312.8,0,0,2.8,1554.5,233.9,221,40,0,0.8933333333333334,0.8242857142857142,149.60000000000002,230.1,28.1,22.0,179.20000000000002,665.6,0,0,0,0.06666666666666667
BC01,1998,Baixo Corgo,145,41.1645,-7.912,19,0,0,34.5,25.975,0,1331.3,2,0,-0.8,1031.6,91.6,258,26,0,1.2833333333333332,0.8685714285714285,304.3,316.7,23.8,23.8,74.60000000000001,592.8,0,0,0,0.08102941176470588
BC01,1999,Baixo Corgo,145,41.1645,-7.912,7,0,0,32.7,24.516304347826093,0,1213.3,1,0,-0.2,1273.9,118.7,241,26,0,1.0933333333333335,0.8028571428571428,289.7,301.3,22.5,22.5,81.1,747.7,0,0,0,0.023529411764705882
BC01,2000,Baixo Corgo,145,41.1645,-7.912,10,0,0,31.4,24.090217391304343,0,1182.8,3,0,-1.2,1600.8000000000002,84.6,231,30,0,1.1733333333333336,0.8414285714285714,314.1,367.0,22.700000000000003,18.6,47.900000000000006,611.6,0,0,0,0.06666666666666667
BC01,2001,Baixo Corgo,145,41.1645,-7.912,11,0,0,33.1,24.10108695652174,0,1270.9,1,0,-0.4,1619.3999999999996,99.7,244,42,1,1.0666666666666669,0.8814285714285715,316.0,410.7000000000001,21.6,17.900000000000002,65.30000000000001,452.3,0,0,1,0.5095428683162047
BC01,2002,Baixo Corgo,145,41.1645,-7.912,5,0,0,31.3,24.11195652173913,0,1172.3000000000002,3,0,-1.6,1392.8,70.0,236,19,0,1.09,0.812857142857143,331.9,372.4,20.8,20.8,58.7,506.4,0,0,0,0.03636363636363636
BC01,2003,Baixo Corgo,145,41.1645,-7.912,21,0,0,34.7,25.277173913043484,0,1370.5,0,0,0.8,1346.0,156.8,240,16,0,1.1566666666666665,0.9314285714285714,305.6,428.9,18.6,15.8,104.6,569.0,0,0,0,0.19075358851674643
BC01,2004,Baixo Corgo,145,41.1645,-7.912,7,0,0,32.1,24.83043478260869,0,1333.8,4,2,-4.9,851.6999999999999,162.2,274,29,0,1.163333333333333,0.9185714285714284,311.59999999999997,417.1,20.6,17.2,99.4,492.8,0,0,0,0.1680263157894737
BC01,2005,Baixo Corgo,145,41.1645,-7.912,24,0,0,34.4,26.963043478260875,0,1503.0,9,5,-5.1,839.2,36.5,277,39,1,1.55,1.1114285714285714,418.0,520.9000000000001,21.700000000000003,17.900000000000002,27.500000000000004,466.2000000000001,0,1,0,0.9826086956521738
BC01,2006,Baixo Corgo,145,41.1645,-7.912,25,0,0,33.9,26.055434782608696,0,1508.4,4,2,-3.4,1375.5,106.8,256,28,0,1.413333333333333,1.042857142857143,357.6,423.1,18.6,18.2,92.1,605.0000000000001,0,0,0,0.2656308662778114
BC01,2007,Baixo Corgo,145,41.1645,-7.912,5,0,0,33.0,22.82282608695652,0,1209.8000000000002,3,0,-0.8,733.0,150.5,265,26,0,1.0333333333333334,0.9214285714285714,263.4,392.4,25.4,17.0,112.9,331.5,0,0,0,0.12416666666666668
BC01,2008,Baixo Corgo,145,41.1645,-7.912,7,0,0,32.7,23.39021739130435,0,1080.4,3,1,-2.6,1030.4,70.5,250,15,0,1.0166666666666668,0.8014285714285714,288.6,324.20000000000005,22.700000000000003,16.7,45.400000000000006,511.1,0,0,0,0.023529411764705882
BC01,2009,Baixo Corgo,145,41.1645,-7.912,11,0,0,31.5,24.35217391304348,0,1357.2,1,0,-0.5,1327.6,137.10000000000002,249,33,0,1.1133333333333333,0.9828571428571428,314.4,476.6,17.900000000000002,15.3,95.9,369.8,0,0,0,0.12416666666666668
BC01,2010,Baixo Corgo,145,41.1645,-7.912,23,0,0,34.2,26.31195652173913,0,1439.8000000000002,8,5,-3.5,1331.8000000000002,76.4,240,45,1,1.4533333333333334,1.072857142857143,369.5,485.3,20.700000000000003,17.3,70.30000000000001,438.0,0,1,1,0.9826086956521738
BC01,2011,Baixo Corgo,145,41.1645,-7.912,7,0,0,33.8,24.27608695652173,0,1506.4,5,2,-2.3,999.9,49.5,263,37,0,1.18,1.0571428571428574,374.0,473.9,20.5,17.1,41.6,365.1,0,0,0,0.12416666666666668
